-100,04;1
-100,04;44
-100;53
-100;59
-100;64
-100,1;64
-100,2;68
-100;68
-100,08;77
-100,04;79
-100,7;82
-100;93
-100,04;96
-100;103
-100;104
-100;109
-100,04;109
-100,04;111
-100;121
-100;127
-100,04;137
-100,08;143
-99,9;146
-100,04;147
-100,12;147
-100,04;148
-100,04;149
-100,08;152
-100,04;157
-100,2;162
-100;168
-100;170
-100,04;172
-100,04;173
-100,08;174
-100,12;175
-100,08;176
-100;177
-99,98;183
-100,04;191
-100;194
-100;194
-100,16;194
-100,1;200
-100;214
-100;224
-100;224
-100;228
-100,62;230
-100,08;236
-100,28;245
-100,04;249
-100;258
-100,4;262
-100,02;268
-100;273
-100;278
-100;281
-99,94;285
-100,02;292
-100,08;296
-100;301
-100,04;305
-100,04;306
-100,04;312
-100,28;314
-100;316
-100;316
-100,5;316
-100,2;317
-100,12;323
-100;325
-100;331
-100,54;340
-100;344
-100,04;344
-100,24;350
-100;360
-100,04;370
-100,08;370
-99,98;377
-99,88;379
-99,94;385
-100,08;389
-101,32;394
-100,08;398
-100,08;405
-100,04;406
-100,4;413
-100;419
-100,08;427
-100;430
-100,5;436
-100,08;438
-100,16;442
-100;453
-100,5;455
-100;459
-100,12;462
-99,94;463
-100,08;465
-100,78;472
-100,02;477
-100;482
-100,08;483
-100;490
-100;494
-100;497
-100,06;500
-100,04;503
-100,08;506
-99,9;516
-100;520
-100,16;522
-100,04;522
-100;525
-100;527
-100,2;528
-100,16;528
-100;528
-100,04;530
-100,24;530
-100,18;531
-100,02;533
-100,88;535
-100;536
-100;538
-100,36;538
-100,04;539
-100;541
-100;541
-100,28;541
-100,08;542
-100,4;543
-100,08;543
-100,96;543
-100,08;545
-100,04;545
-100;545
-100;546
-100;547
-100;548
-100;548
-100,04;549
-100,14;549
-100,2;549
-99,94;550
-100,64;550
-100,12;554
-101,06;554
-100,28;555
-100,04;555
-100,16;557
-100,08;562
-100,5;564
-100,08;566
-101,08;573
-100,08;579
-100,08;580
-100,08;580
-100,28;582
-100,08;582
-101,32;585
-100;589
-100,08;592
-100,3;595
-100,06;595
-100,08;596
-100;598
-100,54;600
